date,ChatGPT,artificial intelligence,geo,state,timeframe,machine learning,AI tools
2020-07-26,0.0,55.0,IN-KA,Karnataka,2020_2021,,
2020-08-02,0.0,58.0,IN-KA,Karnataka,2020_2021,,
2020-08-09,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2020-08-16,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2020-08-23,0.0,69.0,IN-KA,Karnataka,2020_2021,,
2020-08-30,0.0,55.0,IN-KA,Karnataka,2020_2021,,
2020-09-06,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2020-09-13,0.0,52.0,IN-KA,Karnataka,2020_2021,,
2020-09-20,0.0,53.0,IN-KA,Karnataka,2020_2021,,
2020-09-27,0.0,38.0,IN-KA,Karnataka,2020_2021,,
2020-10-04,0.0,53.0,IN-KA,Karnataka,2020_2021,,
2020-10-11,0.0,42.0,IN-KA,Karnataka,2020_2021,,
2020-10-18,0.0,47.0,IN-KA,Karnataka,2020_2021,,
2020-10-25,0.0,40.0,IN-KA,Karnataka,2020_2021,,
2020-11-01,0.0,47.0,IN-KA,Karnataka,2020_2021,,
2020-11-08,0.0,58.0,IN-KA,Karnataka,2020_2021,,
2020-11-15,0.0,56.0,IN-KA,Karnataka,2020_2021,,
2020-11-22,0.0,80.0,IN-KA,Karnataka,2020_2021,,
2020-11-29,0.0,71.0,IN-KA,Karnataka,2020_2021,,
2020-12-06,0.0,58.0,IN-KA,Karnataka,2020_2021,,
2020-12-13,0.0,65.0,IN-KA,Karnataka,2020_2021,,
2020-12-20,0.0,59.0,IN-KA,Karnataka,2020_2021,,
2020-12-27,0.0,50.0,IN-KA,Karnataka,2020_2021,,
2021-01-03,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2021-01-10,0.0,49.0,IN-KA,Karnataka,2020_2021,,
2021-01-17,0.0,50.0,IN-KA,Karnataka,2020_2021,,
2021-01-24,0.0,57.0,IN-KA,Karnataka,2020_2021,,
2021-01-31,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2021-02-07,0.0,50.0,IN-KA,Karnataka,2020_2021,,
2021-02-14,0.0,58.0,IN-KA,Karnataka,2020_2021,,
2021-02-21,0.0,72.0,IN-KA,Karnataka,2020_2021,,
2021-02-28,0.0,63.0,IN-KA,Karnataka,2020_2021,,
2021-03-07,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2021-03-14,0.0,61.0,IN-KA,Karnataka,2020_2021,,
2021-03-21,0.0,64.0,IN-KA,Karnataka,2020_2021,,
2021-03-28,0.0,54.0,IN-KA,Karnataka,2020_2021,,
2021-04-04,0.0,52.0,IN-KA,Karnataka,2020_2021,,
2021-04-11,0.0,42.0,IN-KA,Karnataka,2020_2021,,
2021-04-18,0.0,48.0,IN-KA,Karnataka,2020_2021,,
2021-04-25,0.0,39.0,IN-KA,Karnataka,2020_2021,,
2021-05-02,0.0,47.0,IN-KA,Karnataka,2020_2021,,
2021-05-09,0.0,53.0,IN-KA,Karnataka,2020_2021,,
2021-05-16,0.0,56.0,IN-KA,Karnataka,2020_2021,,
2021-05-23,0.0,46.0,IN-KA,Karnataka,2020_2021,,
2021-05-30,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2021-06-06,0.0,72.0,IN-KA,Karnataka,2020_2021,,
2021-06-13,0.0,64.0,IN-KA,Karnataka,2020_2021,,
2021-06-20,0.0,67.0,IN-KA,Karnataka,2020_2021,,
2021-06-27,0.0,67.0,IN-KA,Karnataka,2020_2021,,
2021-07-04,0.0,76.0,IN-KA,Karnataka,2020_2021,,
2021-07-11,0.0,57.0,IN-KA,Karnataka,2020_2021,,
2021-07-18,0.0,65.0,IN-KA,Karnataka,2020_2021,,
2021-07-25,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2021-08-01,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2021-08-08,0.0,54.0,IN-KA,Karnataka,2020_2021,,
2021-08-15,0.0,53.0,IN-KA,Karnataka,2020_2021,,
2021-08-22,0.0,72.0,IN-KA,Karnataka,2020_2021,,
2021-08-29,0.0,67.0,IN-KA,Karnataka,2020_2021,,
2021-09-05,0.0,60.0,IN-KA,Karnataka,2020_2021,,
2021-09-12,0.0,69.0,IN-KA,Karnataka,2020_2021,,
2021-09-19,0.0,99.0,IN-KA,Karnataka,2020_2021,,
2021-09-26,0.0,78.0,IN-KA,Karnataka,2020_2021,,
2021-10-03,0.0,70.0,IN-KA,Karnataka,2020_2021,,
2021-10-10,0.0,59.0,IN-KA,Karnataka,2020_2021,,
2021-10-17,0.0,64.0,IN-KA,Karnataka,2020_2021,,
2021-10-24,0.0,64.0,IN-KA,Karnataka,2020_2021,,
2021-10-31,0.0,54.0,IN-KA,Karnataka,2020_2021,,
2021-11-07,0.0,86.0,IN-KA,Karnataka,2020_2021,,
2021-11-14,0.0,89.0,IN-KA,Karnataka,2020_2021,,
2021-11-21,0.0,86.0,IN-KA,Karnataka,2020_2021,,
2021-11-28,0.0,79.0,IN-KA,Karnataka,2020_2021,,
2021-12-05,0.0,90.0,IN-KA,Karnataka,2020_2021,,
2021-12-12,0.0,86.0,IN-KA,Karnataka,2020_2021,,
2021-12-19,0.0,84.0,IN-KA,Karnataka,2020_2021,,
2021-12-26,0.0,76.0,IN-KA,Karnataka,2020_2021,,
2021-12-26,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-01-02,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-01-09,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-01-16,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-01-23,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-01-30,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-02-06,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-02-13,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-02-20,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-02-27,0.0,4.0,IN-KA,Karnataka,2022_2023,,
2022-03-06,0.0,4.0,IN-KA,Karnataka,2022_2023,,
2022-03-13,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-03-20,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-03-27,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-04-03,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-04-10,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-04-17,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-04-24,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-05-01,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-05-08,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-05-15,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-05-22,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-05-29,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-06-05,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-06-12,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-06-19,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-06-26,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-07-03,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-07-10,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-07-17,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-07-24,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-07-31,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-08-07,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-08-14,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-08-21,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-08-28,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-09-04,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-09-11,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-09-18,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-09-25,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-10-02,0.0,2.0,IN-KA,Karnataka,2022_2023,,
2022-10-09,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-10-16,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-10-23,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-10-30,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-11-06,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-11-13,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-11-20,0.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-11-27,1.0,4.0,IN-KA,Karnataka,2022_2023,,
2022-12-04,10.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-12-11,9.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-12-18,6.0,3.0,IN-KA,Karnataka,2022_2023,,
2022-12-25,7.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-01-01,14.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-01-08,25.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-01-15,40.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-01-22,45.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-01-29,57.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-02-05,62.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-02-12,56.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-02-19,60.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-02-26,55.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-03-05,57.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-03-12,58.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-03-19,56.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-03-26,61.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-04-02,56.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-04-09,64.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-04-16,62.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-04-23,63.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-04-30,60.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-05-07,58.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-05-14,64.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-05-21,69.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-05-28,71.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-06-04,74.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-06-11,78.0,5.0,IN-KA,Karnataka,2022_2023,,
2023-06-18,77.0,5.0,IN-KA,Karnataka,2022_2023,,
2023-06-25,76.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-07-02,78.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-07-09,82.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-07-16,77.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-07-23,76.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-07-30,86.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-08-06,87.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-08-13,83.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-08-20,87.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-08-27,89.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-09-03,83.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-09-10,86.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-09-17,80.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-09-24,82.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-10-01,83.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-10-08,89.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-10-15,87.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-10-22,74.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-10-29,80.0,2.0,IN-KA,Karnataka,2022_2023,,
2023-11-05,88.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-11-12,74.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-11-19,91.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-11-26,90.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-12-03,93.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-12-10,100.0,4.0,IN-KA,Karnataka,2022_2023,,
2023-12-17,91.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-12-24,70.0,2.0,IN-KA,Karnataka,2022_2023,,
2023-12-31,88.0,3.0,IN-KA,Karnataka,2022_2023,,
2023-12-31,22.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-01-07,24.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-01-14,22.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-01-21,21.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-01-28,23.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-02-04,24.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-02-11,23.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-02-18,25.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-02-25,26.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-03-03,24.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-03-10,25.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-03-17,24.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-03-24,22.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-03-31,24.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-04-07,20.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-04-14,23.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-04-21,23.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-04-28,22.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-05-05,23.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-05-12,25.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-05-19,26.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-05-26,28.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-06-02,29.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-06-09,28.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-06-16,25.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-06-23,26.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-06-30,29.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-07-07,27.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-07-14,28.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-07-21,30.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-07-28,30.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-08-04,29.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-08-11,27.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-08-18,32.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-08-25,33.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-09-01,32.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-09-08,33.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-09-15,33.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-09-22,34.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-09-29,31.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-10-06,31.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-10-13,34.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-10-20,38.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-10-27,29.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-11-03,36.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-11-10,40.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-11-17,39.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-11-24,39.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-12-01,39.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-12-08,42.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-12-15,42.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-12-22,34.0,1.0,IN-KA,Karnataka,2024_2025,,
2024-12-29,36.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-01-05,43.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-01-12,39.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-01-19,48.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-01-26,44.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-02-02,48.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-02-09,45.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-02-16,51.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-02-23,47.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-03-02,52.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-03-09,50.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-03-16,52.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-03-23,64.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-03-30,100.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-04-06,52.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-04-13,47.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-04-20,51.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-04-27,46.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-05-04,51.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-05-11,56.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-05-18,57.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-05-25,57.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-06-01,56.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-06-08,62.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-06-15,64.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-06-22,68.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-06-29,65.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-07-06,65.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-07-13,67.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-07-20,67.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-07-27,67.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-08-03,70.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-08-10,65.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-08-17,74.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-08-24,67.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-08-31,75.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-09-07,75.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-09-14,75.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-09-21,71.0,0.0,IN-KA,Karnataka,2024_2025,,
2025-09-28,55.0,0.0,IN-KA,Karnataka,2024_2025,,
2025-10-05,67.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-10-12,65.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-10-19,56.0,0.0,IN-KA,Karnataka,2024_2025,,
2025-10-26,70.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-11-02,74.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-11-09,72.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-11-16,68.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-11-23,65.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-11-30,63.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-12-07,65.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-12-14,64.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-12-21,52.0,1.0,IN-KA,Karnataka,2024_2025,,
2025-12-28,56.0,1.0,IN-KA,Karnataka,2024_2025,,
2019-12-29,,,IN-KA,Karnataka,2020_2021,73.0,0.0
2020-01-05,,,IN-KA,Karnataka,2020_2021,90.0,0.0
2020-01-12,,,IN-KA,Karnataka,2020_2021,78.0,0.0
2020-01-19,,,IN-KA,Karnataka,2020_2021,91.0,0.0
2020-01-26,,,IN-KA,Karnataka,2020_2021,91.0,0.0
2020-02-02,,,IN-KA,Karnataka,2020_2021,88.0,0.0
2020-02-09,,,IN-KA,Karnataka,2020_2021,82.0,0.0
2020-02-16,,,IN-KA,Karnataka,2020_2021,88.0,0.0
2020-02-23,,,IN-KA,Karnataka,2020_2021,100.0,0.0
2020-03-01,,,IN-KA,Karnataka,2020_2021,86.0,0.0
2020-03-08,,,IN-KA,Karnataka,2020_2021,73.0,0.0
2020-03-15,,,IN-KA,Karnataka,2020_2021,55.0,0.0
2020-03-22,,,IN-KA,Karnataka,2020_2021,53.0,0.0
2020-03-29,,,IN-KA,Karnataka,2020_2021,63.0,0.0
2020-04-05,,,IN-KA,Karnataka,2020_2021,66.0,0.0
2020-04-12,,,IN-KA,Karnataka,2020_2021,76.0,0.0
2020-04-19,,,IN-KA,Karnataka,2020_2021,77.0,0.0
2020-04-26,,,IN-KA,Karnataka,2020_2021,78.0,0.0
2020-05-03,,,IN-KA,Karnataka,2020_2021,79.0,0.0
2020-05-10,,,IN-KA,Karnataka,2020_2021,74.0,0.0
2020-05-17,,,IN-KA,Karnataka,2020_2021,72.0,0.0
2020-05-24,,,IN-KA,Karnataka,2020_2021,66.0,0.0
2020-05-31,,,IN-KA,Karnataka,2020_2021,63.0,0.0
2020-06-07,,,IN-KA,Karnataka,2020_2021,62.0,0.0
2020-06-14,,,IN-KA,Karnataka,2020_2021,58.0,0.0
2020-06-21,,,IN-KA,Karnataka,2020_2021,60.0,0.0
2020-06-28,,,IN-KA,Karnataka,2020_2021,56.0,0.0
2020-07-05,,,IN-KA,Karnataka,2020_2021,59.0,0.0
2020-07-12,,,IN-KA,Karnataka,2020_2021,60.0,0.0
2020-07-19,,,IN-KA,Karnataka,2020_2021,61.0,0.0
2020-07-26,,,IN-KA,Karnataka,2020_2021,57.0,0.0
2020-08-02,,,IN-KA,Karnataka,2020_2021,56.0,0.0
2020-08-09,,,IN-KA,Karnataka,2020_2021,58.0,0.0
2020-08-16,,,IN-KA,Karnataka,2020_2021,74.0,0.0
2020-08-23,,,IN-KA,Karnataka,2020_2021,61.0,0.0
2020-08-30,,,IN-KA,Karnataka,2020_2021,65.0,0.0
2020-09-06,,,IN-KA,Karnataka,2020_2021,64.0,0.0
2020-09-13,,,IN-KA,Karnataka,2020_2021,56.0,0.0
2020-09-20,,,IN-KA,Karnataka,2020_2021,53.0,0.0
2020-09-27,,,IN-KA,Karnataka,2020_2021,45.0,0.0
2020-10-04,,,IN-KA,Karnataka,2020_2021,47.0,0.0
2020-10-11,,,IN-KA,Karnataka,2020_2021,44.0,0.0
2020-10-18,,,IN-KA,Karnataka,2020_2021,47.0,0.0
2020-10-25,,,IN-KA,Karnataka,2020_2021,39.0,0.0
2020-11-01,,,IN-KA,Karnataka,2020_2021,47.0,0.0
2020-11-08,,,IN-KA,Karnataka,2020_2021,49.0,0.0
2020-11-15,,,IN-KA,Karnataka,2020_2021,57.0,0.0
2020-11-22,,,IN-KA,Karnataka,2020_2021,56.0,0.0
2020-11-29,,,IN-KA,Karnataka,2020_2021,53.0,0.0
2020-12-06,,,IN-KA,Karnataka,2020_2021,51.0,0.0
2020-12-13,,,IN-KA,Karnataka,2020_2021,57.0,0.0
2020-12-20,,,IN-KA,Karnataka,2020_2021,58.0,0.0
2020-12-27,,,IN-KA,Karnataka,2020_2021,54.0,0.0
2021-01-03,,,IN-KA,Karnataka,2020_2021,53.0,0.0
2021-01-10,,,IN-KA,Karnataka,2020_2021,55.0,0.0
2021-01-17,,,IN-KA,Karnataka,2020_2021,58.0,0.0
2021-01-24,,,IN-KA,Karnataka,2020_2021,72.0,0.0
2021-01-31,,,IN-KA,Karnataka,2020_2021,53.0,0.0
2021-02-07,,,IN-KA,Karnataka,2020_2021,45.0,0.0
2021-02-14,,,IN-KA,Karnataka,2020_2021,51.0,0.0
2021-02-21,,,IN-KA,Karnataka,2020_2021,89.0,0.0
2021-02-28,,,IN-KA,Karnataka,2020_2021,48.0,0.0
2021-03-07,,,IN-KA,Karnataka,2020_2021,49.0,0.0
2021-03-14,,,IN-KA,Karnataka,2020_2021,54.0,0.0
2021-03-21,,,IN-KA,Karnataka,2020_2021,53.0,0.0
2021-03-28,,,IN-KA,Karnataka,2020_2021,53.0,0.0
2021-04-04,,,IN-KA,Karnataka,2020_2021,50.0,2.0
2021-04-11,,,IN-KA,Karnataka,2020_2021,44.0,0.0
2021-04-18,,,IN-KA,Karnataka,2020_2021,43.0,0.0
2021-04-25,,,IN-KA,Karnataka,2020_2021,42.0,0.0
2021-05-02,,,IN-KA,Karnataka,2020_2021,47.0,0.0
2021-05-09,,,IN-KA,Karnataka,2020_2021,54.0,0.0
2021-05-16,,,IN-KA,Karnataka,2020_2021,57.0,0.0
2021-05-23,,,IN-KA,Karnataka,2020_2021,55.0,0.0
2021-05-30,,,IN-KA,Karnataka,2020_2021,59.0,0.0
2021-06-06,,,IN-KA,Karnataka,2020_2021,62.0,0.0
2021-06-13,,,IN-KA,Karnataka,2020_2021,61.0,0.0
2021-06-20,,,IN-KA,Karnataka,2020_2021,52.0,0.0
2021-06-27,,,IN-KA,Karnataka,2020_2021,56.0,0.0
2021-07-04,,,IN-KA,Karnataka,2020_2021,59.0,0.0
2021-07-11,,,IN-KA,Karnataka,2020_2021,57.0,0.0
