state,state_code_plfs,plfs_2019_code,plfs_2021_code,plfs_2023_code,district_name_plfs_2019,district_name_plfs_2021,district_name_plfs_2023,district_name_standard,district_name_census,district_name_bharatnet,census_code_resolved,bharatnet_treatment,concordance_status,plfs_2021_col_status
Rajasthan,8,20,20,20,Jhalawar,Jhalawar,Jhalawar,Jhalawar,Jhalawar,Jhalawar,8-129,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,21,21,21,Jhunjhunun,Jhunjhunun,Jhunjhunun,Jhunjhunun,Jhunjhunun,Jhunjhunu,8-103,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,22,22,22,Jodhpur,Jodhpur,Jodhpur,Jodhpur,Jodhpur,Jodhpur,8-113,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,23,23,23,Karauli,Karauli,Karauli,Karauli,Karauli,Karauli,8-107,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,24,24,24,Kota,Kota,Kota,Kota,Kota,Kota,8-127,early,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,25,25,25,Nagaur,Nagaur,Nagaur,Nagaur,Nagaur,Nagaur,8-112,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,26,26,26,Pali,Pali,Pali,Pali,Pali,Pali,8-118,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,27,27,27,Pratapgarh,Pratapgarh,Pratapgarh,Pratapgarh,Pratapgarh,Pratapgarh,8-131,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,28,28,28,Rajsamand,Rajsamand,Rajsamand,Rajsamand,Rajsamand,Rajsamand,8-123,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,29,29,29,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,8-108,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,30,30,30,Sikar,Sikar,Sikar,Sikar,Sikar,Sikar,8-111,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,31,31,31,Sirohi,Sirohi,Sirohi,Sirohi,Sirohi,Sirohi,8-117,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,32,32,32,Tonk,Tonk,Tonk,Tonk,Tonk,Tonk,8-120,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,33,33,33,Udaipur,MISSING,Udaipur,Udaipur,Udaipur,Udaipur,8-130,mid,EXACT,PROBABLE_b1q4_perrv
