district_code_x,district_name,state_code,survey_year,n_rural_persons,n_employed,employed_weight,unemp_rate_wt,agri_share_wt,nonagri_share_wt,services_share,edu_secondary_wt,log_wage_median,wage_n,sample_grade,data_status,schema_version,state_code_plfs,state,district_code_num,district_code_y,district_name_standard,bharatnet_treatment,state_group,panel_usable_2x2,panel_usable_3period,data_quality_flag,boundary_note,census_code_resolved,population,rural_population,urban_share,literacy_rate,female_literacy_rate,sc_share,st_share,worker_participation_rate,agri_worker_share,join_year,post_2023,early_treat,late_ctrl,treat_binary,post_early_did,did_sample_2x2,did_sample_3period,log_population,district_code,lfpr_wt,wpr_wt,nilf_share_wt
11,Chitradurga,29,2019,888,732,1049536993,9.82,54.06,45.94,22.33,,3.7612,56,A,REAL,1.0,29,Karnataka,11,11.0,Chitradurga,mid,high_connectivity,True,True,VERIFIED,,29-566,1659456,1329923,19.86,73.71,65.88,23.45,18.23,51.62,67.78,2019,0,0,0,0,0,0,0,14.32200039578042,11,93.301,84.139,6.699
12,Dakshina Kannada,29,2019,785,688,912075369,6.74,53.67,46.33,22.34,,3.8501,59,A,REAL,1.0,29,Karnataka,12,12.0,Dakshina Kannada,early,high_connectivity,True,True,VERIFIED,,29-575,2089649,1093563,47.67,88.57,84.13,7.09,3.94,47.75,6.32,2019,0,1,0,1,0,1,1,14.552506667253327,12,96.524,90.017,3.476
13,Davangere,29,2019,575,476,735368252,8.59,48.73,51.27,24.03,,3.8501,31,B,REAL,1.0,29,Karnataka,13,13.0,Davangere,mid,high_connectivity,True,True,SPELLING_MISMATCH,Spelling variant,29-567,1945497,1316487,32.33,75.74,68.91,20.18,11.98,44.99,60.18,2019,0,0,0,0,0,0,0,14.48102802938551,13,92.968,84.984,7.032
14,Dharwad,29,2019,966,807,929874985,1.47,52.11,47.89,25.75,,3.7136,47,A,REAL,1.0,29,Karnataka,14,14.0,Dharwad,early,high_connectivity,True,True,VERIFIED,,29-562,1847023,797484,56.82,80.0,73.46,9.63,4.74,42.49,47.39,2019,0,1,0,1,0,1,1,14.429085711729725,14,85.654,84.399,14.346
15,Gadag,29,2019,215,191,315471128,9.35,54.2,45.8,39.41,,3.8501,37,D,REAL,1.0,29,Karnataka,15,15.0,Gadag,mid,high_connectivity,True,True,VERIFIED,,29-561,1064570,685261,35.63,75.12,65.44,16.36,5.79,46.57,66.12,2019,0,0,0,0,0,0,0,13.87808151972577,15,96.149,87.161,3.851
16,Hassan,29,2019,276,218,679337813,2.54,46.61,53.39,26.1,,,5,C,REAL,1.0,29,Karnataka,16,16.0,Hassan,early,high_connectivity,True,True,VERIFIED,,29-574,1776421,1399658,21.21,76.07,68.6,19.42,1.82,50.87,66.73,2019,0,1,0,1,0,1,1,14.390111223991996,16,88.164,85.921,11.836
17,Haveri,29,2019,379,330,607036590,9.31,50.23,49.77,31.49,,4.1271,30,B,REAL,1.0,29,Karnataka,17,17.0,Haveri,mid,high_connectivity,True,True,VERIFIED,,29-564,1597668,1242167,22.25,77.4,70.46,13.77,8.85,45.7,70.45,2019,0,0,0,0,0,0,0,14.284055624023695,17,96.19,87.239,3.81
18,Kalaburagi,29,2019,7881,7030,18415811289,2.64,53.15,46.85,21.9,,4.1271,456,A,REAL,1.0,29,Karnataka,18,18.0,Kalaburagi,late,high_connectivity,True,True,SPELLING_MISMATCH,Census/new name Kalaburagi; PLFS uses Gulbarga,29-579,2566326,1730775,32.56,64.85,55.09,25.28,2.54,42.36,58.46,2019,0,0,1,0,0,1,1,14.757985862074031,18,92.629,90.182,7.371
19,Kodagu,29,2019,452,385,806865258,6.08,54.71,45.29,35.89,,3.8712,42,B,REAL,1.0,29,Karnataka,19,19.0,Kodagu,early,high_connectivity,True,True,VERIFIED,,29-576,554519,473531,14.61,82.61,78.14,13.27,10.47,50.3,13.02,2019,0,1,0,1,0,1,1,13.22585635028922,19,94.115,88.391,5.885
20,Kolar,29,2019,54,50,123419474,5.8,49.25,50.75,30.78,,,6,D,REAL,1.0,29,Karnataka,20,20.0,Kolar,early,high_connectivity,True,True,VERIFIED,,29-581,1536401,1056328,31.25,74.39,66.84,30.32,5.13,46.72,53.53,2019,0,1,0,1,0,0,0,14.244953226325844,20,94.518,89.037,5.482
21,Koppal,29,2019,1251,1095,1831776356,6.31,48.47,51.53,33.61,,3.8501,82,A,REAL,1.0,29,Karnataka,21,21.0,Koppal,late,high_connectivity,True,True,VERIFIED,,29-560,1389920,1156216,16.81,68.09,57.55,18.61,11.82,47.11,66.65,2019,0,0,1,0,0,1,1,14.144756749493748,21,94.905,88.919,5.095
22,Mandya,29,2019,20,17,55196768,0.0,47.48,52.52,23.52,,,0,D,REAL,1.0,29,Karnataka,22,22.0,Mandya,early,high_connectivity,True,True,VERIFIED,,29-573,1805769,1497407,17.08,70.4,62.54,14.69,1.24,48.26,69.44,2019,0,1,0,1,0,0,0,14.406497097801529,22,89.3,89.3,10.7
23,Mysuru,29,2019,1751,1505,3819127254,7.65,50.37,49.63,31.55,,3.8501,166,A,REAL,1.0,29,Karnataka,23,23.0,Mysuru,early,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Mysore,29-577,3001127,1755714,41.5,72.79,67.06,17.88,11.15,43.79,50.24,2019,0,1,0,1,0,1,1,14.914498442753995,23,94.23,87.025,5.77
24,Raichur,29,2019,334,275,370388461,11.06,37.74,62.26,38.17,,3.8501,36,C,REAL,1.0,29,Karnataka,24,24.0,Raichur,late,high_connectivity,True,True,VERIFIED,,29-559,1928812,1438464,25.42,59.56,48.73,20.79,19.03,46.84,69.61,2019,0,0,1,0,0,1,1,14.472414827314608,24,98.725,87.808,1.275
25,Ramanagara,29,2019,992,856,1392494479,5.83,53.89,46.11,27.0,,3.8501,69,A,REAL,1.0,29,Karnataka,25,25.0,Ramanagara,early,high_connectivity,True,True,VERIFIED,,29-584,1082636,814877,24.73,69.22,61.5,18.83,2.12,49.09,58.44,2019,0,1,0,1,0,1,1,13.89490936607128,25,91.995,86.629,8.005
26,Shivamogga,29,2019,160,150,316859094,1.2,47.46,52.54,13.15,,,7,D,REAL,1.0,29,Karnataka,26,26.0,Shivamogga,mid,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Shimoga,29-568,1752753,1129026,35.59,80.45,74.84,17.58,3.73,44.54,57.77,2019,0,0,0,0,0,0,0,14.376698252663813,26,95.974,94.818,4.026
27,Tumakuru,29,2019,347,306,689887032,4.22,50.99,49.01,19.89,,3.9512,35,B,REAL,1.0,29,Karnataka,27,27.0,Tumakuru,early,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Tumkur,29-571,2678980,2079902,22.36,75.14,67.38,18.92,7.82,50.57,63.35,2019,0,1,0,1,0,1,1,14.800946683026687,27,94.98,90.976,5.02
28,Udupi,29,2019,81,81,180359520,0.0,61.63,38.37,36.4,,,1,D,REAL,1.0,29,Karnataka,28,28.0,Udupi,early,high_connectivity,True,True,VERIFIED,,29-569,1177361,843300,28.37,86.24,81.58,6.41,4.49,43.59,24.65,2019,0,1,0,1,0,0,0,13.978786051195518,28,100.0,100.0,0.0
29,Uttara Kannada,29,2019,250,227,586797323,3.03,57.33,42.67,23.15,,3.7728,18,C,REAL,1.0,29,Karnataka,29,29.0,Uttara Kannada,mid,high_connectivity,True,True,SPELLING_MISMATCH,Spelling variant in older sources,29-563,1437169,1018188,29.15,84.06,78.39,8.1,2.38,42.34,37.45,2019,0,0,0,0,0,0,0,14.178185764269973,29,96.112,93.2,3.888
30,Yadgir,29,2019,153,130,222645464,9.16,55.05,44.95,27.11,,,7,D,REAL,1.0,29,Karnataka,30,30.0,Yadgir,late,high_connectivity,True,True,VERIFIED,,29-580,1174271,953594,18.79,51.83,41.38,23.28,12.51,46.64,71.94,2019,0,0,1,0,0,0,0,13.976158087484915,30,94.083,85.467,5.917
1,Bagalkote,29,2021,1604,1357,2104178100,11.23,47.09,52.91,34.45,,3.8501,95,A,REAL,1.0,29,Karnataka,1,1.0,Bagalkote,mid,high_connectivity,True,True,VERIFIED,,29-556,1889752,1291906,31.64,68.82,58.4,16.89,5.14,43.29,61.05,2021,0,0,0,0,0,0,0,14.451956161494914,1,96.537,95.505,3.463
2,Bengaluru Urban,29,2021,559,429,655561844,10.66,52.55,47.45,26.09,,3.7612,17,B,REAL,1.0,29,Karnataka,2,2.0,Bengaluru Urban,early,high_connectivity,True,True,SPELLING_MISMATCH,Urban district — structurally distinct; consider exclusion from DiD,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07,2021,0,1,0,1,0,0,1,13.806392110999736,2,95.732,95.732,4.268
3,Bengaluru Rural,29,2021,349,300,339257545,5.26,50.21,49.79,28.93,,2.7726,15,B,REAL,1.0,29,Karnataka,3,3.0,Bengaluru Rural,early,high_connectivity,True,True,SPELLING_MISMATCH,,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07,2021,0,1,0,1,0,0,1,13.806392110999736,3,96.059,96.059,3.941
4,Bidar,29,2021,400,354,595633093,8.32,54.62,45.38,22.69,,3.8501,15,B,REAL,1.0,29,Karnataka,4,4.0,Bidar,late,high_connectivity,True,True,VERIFIED,,29-558,1703300,1277348,25.01,70.51,61.55,23.47,13.85,41.25,59.98,2021,0,0,1,0,0,0,1,14.34807810384867,4,96.309,96.309,3.691
5,Vijayapura,29,2021,555,462,774708043,6.05,48.82,51.18,21.29,,3.8286,28,B,REAL,1.0,29,Karnataka,5,5.0,Vijayapura,late,high_connectivity,True,True,SPELLING_MISMATCH,PLFS/older sources use Bijapur,29-557,2177331,1675353,23.05,67.15,56.72,20.34,1.81,42.61,66.16,2021,0,0,1,0,0,0,1,14.593610372756531,5,96.589,96.589,3.411
6,Ballari,29,2021,33,31,40541091,7.77,54.95,45.05,36.45,,,3,D,REAL,1.0,29,Karnataka,6,6.0,Ballari,mid,high_connectivity,True,True,BOUNDARY_CHANGE,Vijayanagara carved from Ballari in 2021; 2019-20 panel uses Ballari only,29-565,2452595,1532356,37.52,67.43,58.09,21.1,18.41,45.54,59.47,2021,0,0,0,0,0,0,0,14.712657205655129,6,100.0,100.0,0.0
7,Belagavi,29,2021,946,783,1543591047,6.36,47.39,52.61,22.64,,3.8067,68,A,REAL,1.0,29,Karnataka,7,7.0,Belagavi,mid,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Belgaum,29-555,4779661,3568466,25.34,73.48,64.58,12.08,6.22,44.05,64.66,2021,0,0,0,0,0,0,0,15.379880181450568,7,95.687,95.687,4.313
8,Chamarajanagara,29,2021,1222,1010,1832427091,9.97,51.95,48.05,30.42,,3.8501,88,A,REAL,1.0,29,Karnataka,8,8.0,Chamarajanagara,mid,high_connectivity,True,True,SPELLING_MISMATCH,Spelling variant,29-578,1020791,845817,17.14,61.43,54.92,25.42,11.78,47.19,67.97,2021,0,0,0,0,0,0,0,13.836088374919376,8,94.922,92.144,5.078
9,Chikkaballapura,29,2021,295,256,405467089,11.69,47.85,52.15,28.63,,3.7136,20,C,REAL,1.0,29,Karnataka,9,9.0,Chikkaballapura,early,high_connectivity,True,True,VERIFIED,,29-582,1255104,973985,22.4,69.76,61.55,24.9,12.47,50.97,65.52,2021,0,1,0,1,0,0,1,14.04272899564051,9,100.0,96.498,0.0
10,Chikkamagaluru,29,2021,483,418,668721797,11.0,50.11,49.89,19.47,,3.8501,30,B,REAL,1.0,29,Karnataka,10,10.0,Chikkamagaluru,early,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Chikmagalur,29-570,1137961,898453,21.05,79.25,73.16,22.29,3.95,49.72,49.84,2021,0,1,0,1,0,0,1,13.944748622430897,10,97.016,95.654,2.984
11,Chitradurga,29,2021,678,569,868403959,5.94,51.12,48.88,22.83,,3.8067,42,A,REAL,1.0,29,Karnataka,11,11.0,Chitradurga,mid,high_connectivity,True,True,VERIFIED,,29-566,1659456,1329923,19.86,73.71,65.88,23.45,18.23,51.62,67.78,2021,0,0,0,0,0,0,0,14.32200039578042,11,90.501,90.501,9.499
12,Dakshina Kannada,29,2021,399,367,700101788,4.92,49.28,50.72,25.73,,3.7377,36,B,REAL,1.0,29,Karnataka,12,12.0,Dakshina Kannada,early,high_connectivity,True,True,VERIFIED,,29-575,2089649,1093563,47.67,88.57,84.13,7.09,3.94,47.75,6.32,2021,0,1,0,1,0,0,1,14.552506667253327,12,99.392,99.392,0.608
13,Davangere,29,2021,965,863,1686890155,9.96,49.97,50.03,26.33,,3.8286,81,A,REAL,1.0,29,Karnataka,13,13.0,Davangere,mid,high_connectivity,True,True,SPELLING_MISMATCH,Spelling variant,29-567,1945497,1316487,32.33,75.74,68.91,20.18,11.98,44.99,60.18,2021,0,0,0,0,0,0,0,14.48102802938551,13,98.659,97.989,1.341
14,Dharwad,29,2021,703,619,1519271541,9.36,46.6,53.4,44.09,,3.8918,43,A,REAL,1.0,29,Karnataka,14,14.0,Dharwad,early,high_connectivity,True,True,VERIFIED,,29-562,1847023,797484,56.82,80.0,73.46,9.63,4.74,42.49,47.39,2021,0,1,0,1,0,0,1,14.429085711729725,14,96.546,96.546,3.454
15,Gadag,29,2021,613,566,939229836,3.17,44.33,55.67,37.56,,3.8918,42,A,REAL,1.0,29,Karnataka,15,15.0,Gadag,mid,high_connectivity,True,True,VERIFIED,,29-561,1064570,685261,35.63,75.12,65.44,16.36,5.79,46.57,66.12,2021,0,0,0,0,0,0,0,13.87808151972577,15,96.042,96.042,3.958
16,Hassan,29,2021,167,137,348383193,13.81,48.44,51.56,54.81,,3.8501,17,D,REAL,1.0,29,Karnataka,16,16.0,Hassan,early,high_connectivity,True,True,VERIFIED,,29-574,1776421,1399658,21.21,76.07,68.6,19.42,1.82,50.87,66.73,2021,0,1,0,1,0,0,0,14.390111223991996,16,100.0,100.0,0.0
17,Haveri,29,2021,494,462,1239093905,1.18,49.49,50.51,15.0,,3.7377,36,B,REAL,1.0,29,Karnataka,17,17.0,Haveri,mid,high_connectivity,True,True,VERIFIED,,29-564,1597668,1242167,22.25,77.4,70.46,13.77,8.85,45.7,70.45,2021,0,0,0,0,0,0,0,14.284055624023695,17,97.714,97.714,2.286
18,Kalaburagi,29,2021,7936,7263,18550491049,3.06,52.84,47.16,25.6,,4.1271,502,A,REAL,1.0,29,Karnataka,18,18.0,Kalaburagi,late,high_connectivity,True,True,SPELLING_MISMATCH,Census/new name Kalaburagi; PLFS uses Gulbarga,29-579,2566326,1730775,32.56,64.85,55.09,25.28,2.54,42.36,58.46,2021,0,0,1,0,0,0,1,14.757985862074031,18,97.988,97.678,2.012
19,Kodagu,29,2021,239,205,491296198,5.04,49.33,50.67,29.58,,3.8501,15,C,REAL,1.0,29,Karnataka,19,19.0,Kodagu,early,high_connectivity,True,True,VERIFIED,,29-576,554519,473531,14.61,82.61,78.14,13.27,10.47,50.3,13.02,2021,0,1,0,1,0,0,1,13.22585635028922,19,82.86,82.86,17.14
20,Kolar,29,2021,267,229,331469032,5.79,53.49,46.51,32.73,,4.0254,13,C,REAL,1.0,29,Karnataka,20,20.0,Kolar,early,high_connectivity,True,True,VERIFIED,,29-581,1536401,1056328,31.25,74.39,66.84,30.32,5.13,46.72,53.53,2021,0,1,0,1,0,0,1,14.244953226325844,20,99.811,98.72,0.189
21,Koppal,29,2021,1050,859,1360364387,5.36,48.79,51.21,37.4,,3.8501,88,A,REAL,1.0,29,Karnataka,21,21.0,Koppal,late,high_connectivity,True,True,VERIFIED,,29-560,1389920,1156216,16.81,68.09,57.55,18.61,11.82,47.11,66.65,2021,0,0,1,0,0,0,1,14.144756749493748,21,92.696,92.696,7.304
22,Mandya,29,2021,114,100,136522386,14.07,43.42,56.58,38.65,,,2,D,REAL,1.0,29,Karnataka,22,22.0,Mandya,early,high_connectivity,True,True,VERIFIED,,29-573,1805769,1497407,17.08,70.4,62.54,14.69,1.24,48.26,69.44,2021,0,1,0,1,0,0,0,14.406497097801529,22,100.0,100.0,0.0
23,Mysuru,29,2021,1814,1575,3254376050,8.28,48.16,51.84,31.6,,3.8286,153,A,REAL,1.0,29,Karnataka,23,23.0,Mysuru,early,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Mysore,29-577,3001127,1755714,41.5,72.79,67.06,17.88,11.15,43.79,50.24,2021,0,1,0,1,0,0,1,14.914498442753995,23,96.409,93.478,3.591
24,Raichur,29,2021,176,150,292032427,7.97,48.35,51.65,31.77,,3.5695,12,D,REAL,1.0,29,Karnataka,24,24.0,Raichur,late,high_connectivity,True,True,VERIFIED,,29-559,1928812,1438464,25.42,59.56,48.73,20.79,19.03,46.84,69.61,2021,0,0,1,0,0,0,0,14.472414827314608,24,95.293,95.293,4.707
25,Ramanagara,29,2021,1433,1201,1710921715,5.73,48.25,51.75,19.55,,3.8501,62,A,REAL,1.0,29,Karnataka,25,25.0,Ramanagara,early,high_connectivity,True,True,VERIFIED,,29-584,1082636,814877,24.73,69.22,61.5,18.83,2.12,49.09,58.44,2021,0,1,0,1,0,0,1,13.89490936607128,25,87.913,87.913,12.087
26,Shivamogga,29,2021,200,178,256567330,1.57,54.12,45.88,13.26,,,9,D,REAL,1.0,29,Karnataka,26,26.0,Shivamogga,mid,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Shimoga,29-568,1752753,1129026,35.59,80.45,74.84,17.58,3.73,44.54,57.77,2021,0,0,0,0,0,0,0,14.376698252663813,26,100.0,100.0,0.0
27,Tumakuru,29,2021,626,545,1252495828,4.67,54.43,45.57,26.02,,3.8501,28,A,REAL,1.0,29,Karnataka,27,27.0,Tumakuru,early,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Tumkur,29-571,2678980,2079902,22.36,75.14,67.38,18.92,7.82,50.57,63.35,2021,0,1,0,1,0,0,1,14.800946683026687,27,98.03,97.67,1.97
28,Udupi,29,2021,236,226,484083821,4.85,55.27,44.73,15.84,,3.8067,11,C,REAL,1.0,29,Karnataka,28,28.0,Udupi,early,high_connectivity,True,True,VERIFIED,,29-569,1177361,843300,28.37,86.24,81.58,6.41,4.49,43.59,24.65,2021,0,1,0,1,0,0,1,13.978786051195518,28,100.0,100.0,0.0
29,Uttara Kannada,29,2021,262,237,519573873,4.84,51.45,48.55,25.77,,3.8067,23,C,REAL,1.0,29,Karnataka,29,29.0,Uttara Kannada,mid,high_connectivity,True,True,SPELLING_MISMATCH,Spelling variant in older sources,29-563,1437169,1018188,29.15,84.06,78.39,8.1,2.38,42.34,37.45,2021,0,0,0,0,0,0,0,14.178185764269973,29,96.248,95.679,3.752
30,Yadgir,29,2021,126,116,150297694,3.4,47.82,52.18,35.06,,3.8501,16,D,REAL,1.0,29,Karnataka,30,30.0,Yadgir,late,high_connectivity,True,True,VERIFIED,,29-580,1174271,953594,18.79,51.83,41.38,23.28,12.51,46.64,71.94,2021,0,0,1,0,0,0,0,13.976158087484915,30,100.0,100.0,0.0
1,Bagalkote,29,2023,1810,1512,2845578897,11.33,51.09,48.91,37.42,,3.7612,116,A,REAL,1.0,29,Karnataka,1,1.0,Bagalkote,mid,high_connectivity,True,True,VERIFIED,,29-556,1889752,1291906,31.64,68.82,58.4,16.89,5.14,43.29,61.05,2023,1,0,0,0,0,0,0,14.451956161494914,1,94.349,93.497,5.651
2,Bengaluru Urban,29,2023,720,613,1244010804,11.06,49.05,50.95,25.65,,3.8501,33,A,REAL,1.0,29,Karnataka,2,2.0,Bengaluru Urban,early,high_connectivity,True,True,SPELLING_MISMATCH,Urban district — structurally distinct; consider exclusion from DiD,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07,2023,1,1,0,1,1,1,1,13.806392110999736,2,99.271,99.271,0.729
3,Bengaluru Rural,29,2023,325,284,465326809,5.39,53.96,46.04,17.5,,3.8501,10,C,REAL,1.0,29,Karnataka,3,3.0,Bengaluru Rural,early,high_connectivity,True,True,SPELLING_MISMATCH,,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07,2023,1,1,0,1,1,1,1,13.806392110999736,3,95.735,95.735,4.265
4,Bidar,29,2023,323,291,734985795,1.12,53.86,46.14,23.3,,3.8286,15,C,REAL,1.0,29,Karnataka,4,4.0,Bidar,late,high_connectivity,True,True,VERIFIED,,29-558,1703300,1277348,25.01,70.51,61.55,23.47,13.85,41.25,59.98,2023,1,0,1,0,0,1,1,14.34807810384867,4,97.551,97.551,2.449
5,Vijayapura,29,2023,469,400,736115621,4.33,63.37,36.63,15.85,,3.7612,34,B,REAL,1.0,29,Karnataka,5,5.0,Vijayapura,late,high_connectivity,True,True,SPELLING_MISMATCH,PLFS/older sources use Bijapur,29-557,2177331,1675353,23.05,67.15,56.72,20.34,1.81,42.61,66.16,2023,1,0,1,0,0,1,1,14.593610372756531,5,93.283,93.283,6.717
6,Ballari,29,2023,408,333,578543065,8.41,45.07,54.93,29.49,,3.8286,21,B,REAL,1.0,29,Karnataka,6,6.0,Ballari,mid,high_connectivity,True,True,BOUNDARY_CHANGE,Vijayanagara carved from Ballari in 2021; 2019-20 panel uses Ballari only,29-565,2452595,1532356,37.52,67.43,58.09,21.1,18.41,45.54,59.47,2023,1,0,0,0,0,0,0,14.712657205655129,6,92.136,87.55,7.864
7,Belagavi,29,2023,291,244,394996779,8.0,56.64,43.36,18.07,,,8,C,REAL,1.0,29,Karnataka,7,7.0,Belagavi,mid,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Belgaum,29-555,4779661,3568466,25.34,73.48,64.58,12.08,6.22,44.05,64.66,2023,1,0,0,0,0,0,0,15.379880181450568,7,89.971,89.971,10.029
8,Chamarajanagara,29,2023,1282,1060,1910805127,11.11,52.51,47.49,30.81,,3.8918,99,A,REAL,1.0,29,Karnataka,8,8.0,Chamarajanagara,mid,high_connectivity,True,True,SPELLING_MISMATCH,Spelling variant,29-578,1020791,845817,17.14,61.43,54.92,25.42,11.78,47.19,67.97,2023,1,0,0,0,0,0,0,13.836088374919376,8,97.124,95.297,2.876
9,Chikkaballapura,29,2023,114,85,130364860,8.49,58.66,41.34,26.96,,,2,D,REAL,1.0,29,Karnataka,9,9.0,Chikkaballapura,early,high_connectivity,True,True,VERIFIED,,29-582,1255104,973985,22.4,69.76,61.55,24.9,12.47,50.97,65.52,2023,1,1,0,1,1,0,0,14.04272899564051,9,76.015,76.015,23.985
10,Chikkamagaluru,29,2023,444,350,604600383,5.48,52.4,47.6,25.85,,3.7377,36,B,REAL,1.0,29,Karnataka,10,10.0,Chikkamagaluru,early,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Chikmagalur,29-570,1137961,898453,21.05,79.25,73.16,22.29,3.95,49.72,49.84,2023,1,1,0,1,1,1,1,13.944748622430897,10,91.125,91.125,8.875
11,Chitradurga,29,2023,997,856,1494464818,9.29,48.63,51.37,21.51,,3.8501,61,A,REAL,1.0,29,Karnataka,11,11.0,Chitradurga,mid,high_connectivity,True,True,VERIFIED,,29-566,1659456,1329923,19.86,73.71,65.88,23.45,18.23,51.62,67.78,2023,1,0,0,0,0,0,0,14.32200039578042,11,97.713,97.425,2.287
