district_code,canonical_name,plfs_seq_code,rural_unemp_rate,rural_mean_wage,rural_median_wage,rural_educ_index,rural_pct_illiterate,rural_pct_graduate,rural_pct_agriculture,rural_pct_services,rural_n_records,rural_sample_reliability,data_quality_flag,urban_unemp_rate,urban_mean_wage,urban_median_wage,urban_n_records,urban_sample_reliability,wage_gap_rural_urban,wage_gap_ratio,data_status,source
KA011,Chitradurga,11,22.54,16341.0,12000.0,5.81,25.83,7.33,90.33,0.0,997,ADEQUATE,VERIFIED,28.0,17064.0,14000.0,370,ADEQUATE,723.0,1.04,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA006,Dakshina Kannada,12,6.64,23601.0,12000.0,7.45,15.41,17.62,85.4,0.0,361,ADEQUATE,VERIFIED,29.06,22935.0,16000.0,399,ADEQUATE,-666.0,0.97,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA025,Davangere,13,16.76,15382.0,10000.0,7.28,18.35,17.26,99.91,0.0,663,ADEQUATE,SPELLING_MISMATCH,19.8,19645.0,15000.0,522,ADEQUATE,4263.0,1.28,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA022,Dharwad,14,28.61,21842.0,15000.0,7.13,9.15,14.48,93.72,0.0,380,ADEQUATE,VERIFIED,47.46,23402.0,12000.0,326,ADEQUATE,1560.0,1.07,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA023,Gadag,15,28.0,30845.0,15000.0,6.98,18.56,16.52,89.05,0.0,527,ADEQUATE,VERIFIED,40.9,21158.0,15000.0,409,ADEQUATE,-9687.0,0.69,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA015,Hassan,16,13.24,28938.0,28000.0,8.13,11.63,32.2,73.64,0.0,325,ADEQUATE,VERIFIED,55.82,28153.0,22000.0,270,LOW,-785.0,0.97,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA024,Haveri,17,18.71,26522.0,18200.0,7.56,11.38,18.15,76.42,0.0,845,ADEQUATE,VERIFIED,13.7,21478.0,18000.0,652,ADEQUATE,-5044.0,0.81,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA007,Kalaburagi,18,5.54,33503.0,28000.0,8.34,11.36,31.19,68.02,0.0,7529,ADEQUATE,SPELLING_MISMATCH,4.48,32629.0,25000.0,2407,ADEQUATE,-874.0,0.97,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA012,Kodagu,19,9.64,16018.0,12000.0,6.99,18.9,15.73,92.73,0.0,228,LOW,VERIFIED,22.7,19253.0,15000.0,631,ADEQUATE,3235.0,1.2,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA031,Kolar,20,31.19,21027.0,22000.0,7.11,15.36,14.03,86.31,0.0,541,ADEQUATE,VERIFIED,17.21,12780.0,9000.0,375,ADEQUATE,-8247.0,0.61,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA026,Koppal,21,26.78,26213.0,18500.0,7.35,11.99,18.84,82.29,0.0,1227,ADEQUATE,VERIFIED,30.83,18448.0,12500.0,568,ADEQUATE,-7765.0,0.7,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA016,Mandya,22,10.71,32995.0,26000.0,7.71,13.22,17.67,79.25,0.0,71,VERY_LOW,VERIFIED,56.12,10591.0,8000.0,151,LOW,-22404.0,0.32,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA003,Mysuru,23,15.82,17905.0,15000.0,6.95,19.73,13.34,81.6,0.0,1396,ADEQUATE,SPELLING_MISMATCH,18.81,22243.0,15000.0,629,ADEQUATE,4338.0,1.24,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA009,Raichur,24,9.31,56944.0,65000.0,7.44,7.95,12.64,83.24,0.0,115,LOW,VERIFIED,33.81,27103.0,16000.0,167,LOW,-29841.0,0.48,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA028,Ramanagara,25,17.7,22191.0,18000.0,6.04,31.14,14.24,93.37,0.0,835,ADEQUATE,VERIFIED,34.18,22199.0,15000.0,506,ADEQUATE,8.0,1.0,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA005,Shivamogga,26,6.55,16965.0,15000.0,7.61,19.58,32.3,98.38,0.0,148,LOW,SPELLING_MISMATCH,19.65,16095.0,12000.0,361,ADEQUATE,-870.0,0.95,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA013,Tumakuru,27,10.48,20600.0,20000.0,7.86,9.01,19.02,72.28,0.0,327,ADEQUATE,SPELLING_MISMATCH,21.89,21323.0,18000.0,299,LOW,723.0,1.04,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA019,Udupi,28,18.96,32394.0,40000.0,7.86,5.33,10.6,82.67,0.0,200,LOW,VERIFIED,11.37,20390.0,18000.0,241,LOW,-12004.0,0.63,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA018,Uttara Kannada,29,8.06,17541.0,16000.0,7.15,11.16,10.52,85.62,0.0,266,LOW,VERIFIED,20.35,19696.0,16000.0,183,LOW,2155.0,1.12,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA027,Yadgir,30,22.16,26336.0,20000.0,7.61,13.11,13.55,90.23,0.0,183,LOW,VERIFIED,17.96,22172.0,18000.0,253,LOW,-4164.0,0.84,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA030,Vijayanagara,31,5.33,14000.0,14000.0,8.31,3.3,27.02,100.0,0.0,50,VERY_LOW,BOUNDARY_CHANGE,34.66,14574.0,13500.0,284,LOW,574.0,1.04,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
